wavelength,n
1290.0213894912,2.7116931926
1298.4583075771,2.710980273
1301.8442109862,2.7106941642
1310.5716051859,2.7099566994
1313.6670324811,2.7096951358
1322.6849027948,2.7089331257
1325.4898539761,2.7086961073
1334.7982004036,2.7079095521
1337.3126754711,2.7076970789
1346.9114980125,2.7068859784
1349.135496966,2.7066980505
1359.0247956214,2.7058624048
1360.958318461,2.7056990221
1371.1380932302,2.7048388311
1372.781139956,2.7046999937
1383.2513908391,2.7038152575
1384.603961451,2.7037009653
1395.364688448,2.7027916838
1396.4267829459,2.7027019368
1407.4779860568,2.7019438429
1408.2496044409,2.7018967741
1419.5912836657,2.7012049317
1420.0724259359,2.701175582
1431.7045812745,2.7004660205
1431.8952474309,2.7004543899
1443.7180689258,2.6997331978
1443.8178788834,2.6997271094
1455.5408904208,2.6990120057
1455.9311764923,2.6989881982
1467.3637119158,2.6982908136
1468.0444741011,2.6982492871
1479.1865334108,2.6975696215
1480.15777171,2.6975103759
1491.0093549057,2.6968484294
1492.2710693188,2.6967714648
1502.7127539614,2.696134522
1504.3843669277,2.6960325536
1514.6549978957,2.6954060451
1516.4976645366,2.6952936425
1526.0299852431,2.6947121709
1528.6109621454,2.6945547313
1538.3006408856,2.6939636609
1540.7242597543,2.6938158202
1550.1234623806,2.6932424688
1552.8375573632,2.693076909
1561.9462838756,2.6925212767
1564.950854972,2.6923379978
1573.7691053705,2.6918000846
1577.0641525809,2.6915990867
1585.5919268655,2.6910788925
1589.1774501897,2.6908601755
1597.4147483605,2.6903577004
1601.2907477986,2.6901296542
1609.2375698555,2.6896965524
1613.4040454075,2.6894694795
1621.0603913504,2.6890522087
1625.5173430163,2.6888093048
1632.8832128454,2.6884078649
1637.6306406252,2.6881491301
1644.7060343404,2.6877635211
1649.7439382341,2.6874889554
1656.5288558354,2.6871191774
1661.8572358429,2.6868287806
1668.3516773303,2.6864748336
1673.9705334518,2.6861686059
1680.1744988253,2.6858304898
1686.0838310606,2.6855084312
1691.9973203203,2.685186146
1698.1971286695,2.6848482565
1703.8201418153,2.6845418023
1710.3104262784,2.6841880818
1715.6429633102,2.6838974585
1722.4237238872,2.683527907
1727.4657848052,2.6832531147
1734.5370214961,2.6828677323
1739.2886063002,2.682608771
1746.650319105,2.6822075576
1751.1114277952,2.6819644272
1758.7636167138,2.6815473829
1762.9342492901,2.6813200834
1770.8769143227,2.6808872082
1774.7570707851,2.6806757396
1782.9902119315,2.6802270334
