wavelength,n
1479.1865334108,1.4448610157
1480.15777171,1.4448496193
1491.0093549057,1.4447222888
1492.2710693188,1.4447074841
1502.7127539614,1.4445849632
1504.3843669277,1.4445653488
1514.6549978957,1.4444442994
1516.4976645366,1.4444223061
1526.0299852431,1.4443085322
1528.6109621454,1.4442777267
1538.3006408856,1.4441620747
1540.7242597543,1.4441331474
1550.1234623806,1.4440209623
1552.8375573632,1.443988568
1561.9462838756,1.44387985
1564.950854972,1.4438439887
1573.7691053705,1.4437366624
1577.0641525809,1.4436965543
1585.5919268655,1.4435927521
1589.1774501897,1.4435491082
1597.4147483605,1.4434488418
1601.2907477986,1.4434016622
1609.2375698555,1.4433049315
1613.4040454075,1.4432542161
1621.0603913504,1.4431607322
1625.5173430163,1.4431052664
1632.8832128454,1.4430135998
1637.6306406252,1.442954519
1644.7060343404,1.4428664673
1649.7439382341,1.4428037717
1656.5288558354,1.4427193349
1661.8572358429,1.4426530243
1668.3516773303,1.4425722024
1673.9705334518,1.442502277
1680.1744988253,1.4424240929
1686.0838310606,1.4423487336
1691.9973203203,1.4422733213
1698.1971286695,1.4421942577
1703.8201418153,1.4421225498
1710.3104262784,1.4420397819
1715.6429633102,1.4419717782
1722.4237238872,1.441885306
1727.4657848052,1.4418210067
1734.5370214961,1.4417308301
1739.2886063002,1.4416691084
1746.650319105,1.4415727054
1751.1114277952,1.4415142864
1758.7636167138,1.4414140795
1762.9342492901,1.4413594643
1770.8769143227,1.4412554536
1774.7570707851,1.4412046422
1782.9902119315,1.4410968277
1786.5798922801,1.4410498202
1795.1035095404,1.4409382018
1798.402713775,1.4408944647
1807.2168071493,1.4407756909
1810.22553527,1.440735147
1819.3301047581,1.4406124589
1822.048356765,1.4405758292
1831.443402367,1.4404492268
1833.87117826,1.4404165114
1843.5566999758,1.4402859947
1845.6939997549,1.4402571937
1855.6699975847,1.4401227627
1857.5168212499,1.4400978759
1867.7832951936,1.4399567162
1869.3396427449,1.439935098
1879.8965928024,1.4397884583
1881.2699444353,1.439769382
1892.0098904113,1.4396202005
1892.770325344,1.4396096377
1899.9714984364,1.439509611
1904.1231880202,1.4394519426
1916.236485629,1.4392836847
1928.3497832379,1.4391143701
1940.4630808467,1.4389406648
1952.5763784556,1.4387669596
1962.4891454326,1.4386248101
1964.6896760645,1.4385932543
1976.8029736733,1.4384195491
1976.8198381537,1.4384193073
1988.6426596487,1.4382497674
1988.9162712822,1.4382458438
2000.4654811437,1.4380770707
2001.0295688911,1.4380687062
2012.2883026387,1.4379017581
2013.1428664999,1.4378890863
2024.1111241336,1.4377264455
2025.2561641088,1.4377094664
2035.9339456286,1.4375511329
2037.3694617176,1.4375298466
2047.7567671236,1.4373758202
2049.4827593265,1.4373502267
2059.5795886186,1.4372005076
2061.5960569354,1.4371706068
2071.4024101135,1.4370212879
2073.7093545442,1.4369858621
2083.2252316085,1.4368397349
2085.8226521531,1.4367998486
2095.0480531035,1.436658182
2097.935949762,1.436613835
2106.8708745984,1.436476629
2110.0492473708,1.4364278215
2118.6936960934,1.4362950761
2122.1625449797,1.4362418079
2130.5165175884,1.4361135231
2134.2758425885,1.4360557944
2142.3393390834,1.4359289351
2146.3891401974,1.4358644437
2154.1621605783,1.4357406615
2158.5024378063,1.4356715444
2165.9849820733,1.4355523879
2170.6157354151,1.4354786451
2177.8078035683,1.4353641144
2182.729033024,1.4352857458
2189.6306250633,1.4351758408
2194.8423306328,1.4350928465
2201.4534465582,1.4349875672
