wavelength,n,k
1480.15777171,0.4822143333,10.1981879814
1491.0093549057,0.4887152817,10.2827503186
1492.2710693188,0.4894711475,10.2925823881
1502.7127539614,0.4957265346,10.3739505389
1504.3843669277,0.4967279618,10.3869767948
1514.6549978957,0.5028808743,10.4670119882
1516.4976645366,0.503984776,10.4813712015
1526.0299852431,0.5096953829,10.5556530186
1528.6109621454,0.5112415902,10.5757656082
1538.3006408856,0.5170464669,10.6512736578
1540.7242597543,0.5184984045,10.670160015
1550.1234623806,0.5241292632,10.7434044926
1552.8375573632,0.5257552187,10.7645544217
1561.9462838756,0.5312120595,10.8355353273
1564.950854972,0.5330120329,10.8589488284
1573.7691053705,0.5382948558,10.9276661621
1577.0641525809,0.5402688472,10.9533432351
1585.5919268655,0.545377652,11.0197969969
1589.1774501897,0.5475256614,11.0477376418
1597.4147483605,0.5524604483,11.1119278317
1601.2907477986,0.5547824756,11.1421320485
1609.2375698555,0.5595432446,11.2040586665
1613.4040454075,0.5637475729,11.2367535067
1621.0603913504,0.5721765776,11.2969272348
1625.5173430163,0.5770833134,11.3319558763
1632.8832128454,0.5851925279,11.3898466575
1637.6306406252,0.5904190539,11.4271582459
1644.7060343404,0.5982084782,11.4827660803
1649.7439382341,0.6037547944,11.5223606155
1656.5288558354,0.6112244284,11.575685503
1661.8572358429,0.6170905349,11.6175629851
1668.3516773303,0.6242403787,11.6686049258
1673.9705334518,0.6304262754,11.7127653547
1680.1744988253,0.637256329,11.7615243486
1686.0838310606,0.6437620158,11.8079677242
1691.9973203203,0.6502722793,11.8544437713
1698.1971286695,0.6570977563,11.9031700938
1703.8201418153,0.6632882295,11.9473631941
1710.3104262784,0.6704334968,11.9983724634
1715.6429633102,0.6763041798,12.0402826168
1722.4237238872,0.6837692373,12.093574833
1727.4657848052,0.6893201301,12.1332020396
1734.5370214961,0.6971049778,12.1887772026
1739.2886063002,0.7023360803,12.2261214624
1746.650319105,0.7104407183,12.2839795722
1751.1114277952,0.7153520306,12.3190408851
1758.7636167138,0.7237764588,12.3791819418
